iter          CT     h
0  0.0000000E+00     1.000
1  0.1053446E-05     1.000000000000000000e+00
2  0.2137216E-06     1.000000000000000000e+00
3  0.2569094E-06     1.000000000000000000e+00
4  0.3096786E-06     1.000000000000000000e+00
5  0.3744409E-06     1.000000000000000000e+00
6  0.4542968E-06     1.000000000000000000e+00
7  0.5532424E-06     1.000000000000000000e+00
8  0.6764660E-06     1.000000000000000000e+00
9  0.8307543E-06     1.000000000000000000e+00
10  0.1025032E-05    1.000000000000000000e+00
11  0.1271087E-05    1.000000000000000000e+00
12  0.1584545E-05    1.000000000000000000e+00
13  0.1986186E-05    1.000000000000000000e+00
14  0.2503708E-05    1.000000000000000000e+00
15  0.3174083E-05    1.000000000000000000e+00
16  0.4046674E-05    1.000000000000000000e+00
17  0.5187319E-05    1.000000000000000000e+00
18  0.6683622E-05    1.000000000000000000e+00
19  0.8651692E-05    1.000000000000000000e+00
20  0.1124456E-04    1.000000000000000000e+00
21  0.1466240E-04    1.000000000000000000e+00
22  0.1916463E-04    1.000000000000000000e+00
23  0.2508347E-04    1.000000000000000000e+00
24  0.3283831E-04    1.000000000000000000e+00
25  0.4294956E-04    1.000000000000000000e+00
26  0.5604972E-04    1.000000000000000000e+00
27  0.7288879E-04    1.000000000000000000e+00
28  0.9433007E-04    1.000000000000000000e+00
29  0.1213321E-03    1.000000000000000000e+00
30  0.1549130E-03    1.000000000000000000e+00
31  0.1960937E-03    1.000000000000000000e+00
32  0.2458219E-03    1.000000000000000000e+00
33  0.3048792E-03    1.000000000000000000e+00
34  0.3737820E-03    1.000000000000000000e+00
35  0.4526873E-03    1.000000000000000000e+00
36  0.5413232E-03    1.000000000000000000e+00
37  0.6389546E-03    1.000000000000000000e+00
38  0.7443956E-03    1.000000000000000000e+00
39  0.8560746E-03    1.000000000000000000e+00
40  0.9721441E-03    1.000000000000000000e+00
41  0.1090624E-02    1.000000000000000000e+00
42  0.1209568E-02    1.000000000000000000e+00
43  0.1327263E-02    1.000000000000000000e+00
44  0.1442517E-02    1.000000000000000000e+00
45  0.1555514E-02    1.000000000000000000e+00
46  0.1673526E-02    1.000000000000000000e+00
47  0.1752567E-02    1.000000000000000000e+00
48  0.1799292E-02    1.000000000000000000e+00
49  0.1833738E-02    1.000000000000000000e+00
50  0.1841078E-02    1.000000000000000000e+00
51  0.1856610E-02    1.000000000000000000e+00
52  0.1867873E-02    1.000000000000000000e+00
53  0.1908665E-02    1.000000000000000000e+00
54  0.1878966E-02    1.000000000000000000e+00
55  0.1909109E-02    1.000000000000000000e+00
56  0.1929681E-02    1.000000000000000000e+00
57  0.1926789E-02    1.000000000000000000e+00
58  0.1927829E-02    1.000000000000000000e+00
59  0.1947283E-02    1.000000000000000000e+00
60  0.1922918E-02    1.000000000000000000e+00
61  0.1895197E-02    1.000000000000000000e+00
62  0.1865428E-02    1.000000000000000000e+00
63  0.1830466E-02    1.000000000000000000e+00
64  0.1795724E-02    1.000000000000000000e+00
65  0.1754555E-02    1.000000000000000000e+00
66  0.1745620E-02    1.000000000000000000e+00
67  0.1744169E-02    1.000000000000000000e+00
68  0.1725161E-02    1.000000000000000000e+00
